Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein existence
Q5U3W1	reviewed	SG196_DANRE	Protein O-mannose kinase (POMK) (EC 2.7.1.183) (Protein kinase-like protein SgK196) (Sugen kinase 196)	pomk sgk196 zgc:101572	Danio rerio (Zebrafish) (Brachydanio rerio)	347	Evidence at protein level
Q5VSE6	reviewed	KCNKD_DANRE	Potassium channel, subfamily K, member 13 (K2P13.1b) (Tandem pore domain halothane-inhibited potassium channel)	kcnk13b kcnk13	Danio rerio (Zebrafish) (Brachydanio rerio)	412	Evidence at transcript level
Q5W7F1	reviewed	ASAH2_DANRE	Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.23) (Acylsphingosine deacylase 2) (N-acylsphingosine amidohydrolase 2) (znCD)	asah2	Danio rerio (Zebrafish) (Brachydanio rerio)	743	Evidence at protein level
Q5W8I7	reviewed	VGL2B_DANRE	Vesicular glutamate transporter 2.2 (Solute carrier family 17 member 6-A) (Vesicular glutamate transporter 2-B)	slc17a6a slc17a6l vglut2.2 vglut2b	Danio rerio (Zebrafish) (Brachydanio rerio)	587	Evidence at transcript level
Q5W8I8	reviewed	VGL2A_DANRE	Vesicular glutamate transporter 2.1 (Protein blumenkohl) (Solute carrier family 17 member 6-B) (Vesicular glutamate transporter 2-A)	slc17a6b blu slc17a6 vglut2.1 vglut2a	Danio rerio (Zebrafish) (Brachydanio rerio)	584	Evidence at transcript level
Q5XJ10	reviewed	G3P_DANRE	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	gapdh	Danio rerio (Zebrafish) (Brachydanio rerio)	333	Evidence at transcript level
Q5XJ36	reviewed	PARK7_DANRE	Parkinson disease protein 7 homolog (Maillard deglycase) (Parkinsonism-associated deglycase) (Protein DJ-1zDJ-1) (zDJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)	park7 dj1 zgc:103725	Danio rerio (Zebrafish) (Brachydanio rerio)	189	Evidence at transcript level
Q5XJ85	reviewed	MYD88_DANRE	Myeloid differentiation primary response protein MyD88	myd88	Danio rerio (Zebrafish) (Brachydanio rerio)	284	Evidence at transcript level
Q5XJA0	reviewed	TYDP2_DANRE	Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein homolog)	tdp2 ttrap ttrapl si:ch211-81e5.5 si:dkey-218n20.5	Danio rerio (Zebrafish) (Brachydanio rerio)	369	Evidence at protein level
Q5XJA3	reviewed	PRRC1_DANRE	Protein PRRC1 (Proline-rich and coiled-coil-containing protein 1) (Protein misty somites)	prrc1 mys zgc:103484	Danio rerio (Zebrafish) (Brachydanio rerio)	435	Evidence at protein level
Q5XJN2	reviewed	GILT_DANRE	Gamma-interferon-inducible lysosomal thiol reductase (EC 1.8.-.-) (Gamma-interferon-inducible protein IP-30)	ifi30 GILT	Danio rerio (Zebrafish) (Brachydanio rerio)	255	Evidence at protein level
Q5XJQ7	reviewed	OSR1_DANRE	Protein odd-skipped-related 1 (zOsr1)	osr1 si:dkey-199e17.1 zgc:101674	Danio rerio (Zebrafish) (Brachydanio rerio)	264	Evidence at transcript level
Q66HT8	reviewed	ADPRS_DANRE	ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)	adprs adprhl2 arh3 zgc:92867	Danio rerio (Zebrafish) (Brachydanio rerio)	370	Evidence at transcript level
Q66I08	reviewed	OSTA_DANRE	Organic solute transporter subunit alpha (OST-alpha) (Solute carrier family 51 subunit alpha)	slc51a osta zgc:92111	Danio rerio (Zebrafish) (Brachydanio rerio)	326	Evidence at transcript level
Q66I42	reviewed	MOESA_DANRE	Moesin a (Membrane-organizing extension spike protein) (Moesin 1)	msna rdx	Danio rerio (Zebrafish) (Brachydanio rerio)	579	Evidence at protein level
Q66IA6	reviewed	LYPD6_DANRE	Ly6/PLAUR domain-containing protein 6	lypd6	Danio rerio (Zebrafish) (Brachydanio rerio)	174	Evidence at protein level
Q66L49	reviewed	SCMC1_DANRE	Mitochondrial adenyl nucleotide antiporter SLC25A24 (Small calcium-binding mitochondrial carrier protein 1) (SCaMC-1) (Solute carrier family 25 member 24)	slc25a24 scamc1 si:ch211-63o20.9 zgc:92470	Danio rerio (Zebrafish) (Brachydanio rerio)	477	Evidence at transcript level
Q66PG2	reviewed	LARG1_DANRE	Xylosyl- and glucuronyltransferase LARGE1 (EC 2.4.-.-) (Acetylglucosaminyltransferase-like 1A) (Glycosyltransferase-like protein) (LARGE xylosyl- and glucuronyltransferase 1) [Includes: Alpha-1,3-xylosyltransferase LARGE1 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE1 (EC 2.4.1.-)]	large1 large	Danio rerio (Zebrafish) (Brachydanio rerio)	757	Evidence at transcript level
Q673G8	reviewed	DACT2_DANRE	Dapper homolog 2 (Frodo 2)	dact2 dpr2 frd2 zgc:152832	Danio rerio (Zebrafish) (Brachydanio rerio)	837	Evidence at protein level
Q68EH9	reviewed	CRBN_DANRE	Protein cereblon (zcrbn)	crbn zgc:92404	Danio rerio (Zebrafish) (Brachydanio rerio)	431	Evidence at protein level
Q68EI3	reviewed	CBPC5_DANRE	Cytosolic carboxypeptidase-like protein 5 (EC 3.4.17.-) (EC 3.4.17.24) (ATP/GTP-binding protein-like 5) (Protein deglutamylase CCP5)	agbl5 ccp5 zgc:91997	Danio rerio (Zebrafish) (Brachydanio rerio)	885	Evidence at transcript level
Q68SP4	reviewed	CADH5_DANRE	Cadherin-5 (Vascular endothelial cadherin) (VE-cadherin)	cdh5	Danio rerio (Zebrafish) (Brachydanio rerio)	767	Evidence at protein level
Q6DBR6	reviewed	STAC3_DANRE	SH3 and cysteine-rich domain-containing protein 3	stac3	Danio rerio (Zebrafish) (Brachydanio rerio)	334	Evidence at protein level
Q6DBU5	reviewed	GMPPB_DANRE	Mannose-1-phosphate guanylyltransferase catalytic subunit beta (EC 2.7.7.13) (GDP-mannose pyrophosphorylase B) (GTP-mannose-1-phosphate guanylyltransferase beta)	gmppb zgc:92026	Danio rerio (Zebrafish) (Brachydanio rerio)	360	Evidence at protein level
Q6DBX4	reviewed	GWL_DANRE	Serine/threonine-protein kinase greatwall (GW) (GWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L)	mastl gw gwl	Danio rerio (Zebrafish) (Brachydanio rerio)	860	Evidence at transcript level
Q6DBY2	reviewed	NAA50_DANRE	N-alpha-acetyltransferase 50 (EC 2.3.1.258) (N-acetyltransferase NAT13) (N-epsilon-acetyltransferase 50) (EC 2.3.1.-) (NatE catalytic subunit)	naa50 mak3 nat13	Danio rerio (Zebrafish) (Brachydanio rerio)	168	Evidence at protein level
Q6DC04	reviewed	CARM1_DANRE	Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4)	carm1 si:dkey-204f11.63 zgc:100805	Danio rerio (Zebrafish) (Brachydanio rerio)	588	Evidence at transcript level
Q6DEH3	reviewed	KC2D1_DANRE	Calcium/calmodulin-dependent protein kinase type II delta 1 chain (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase type II delta-B chain) (CaM kinase II subunit delta-B) (CaM-kinase II delta-B chain) (CaMK-II subunit delta-B)	camk2d1 camk2db zgc:101001 zgc:173815	Danio rerio (Zebrafish) (Brachydanio rerio)	491	Evidence at transcript level
Q6DEJ6	reviewed	NLS1B_DANRE	Sodium-dependent lysophosphatidylcholine symporter 1-B (NLS1-B) (Sodium-dependent LPC symporter 1-B) (Major facilitator superfamily domain-containing protein 2A-B)	mfsd2ab nls1b si:ch211-194e15.3 si:ch211-210b19.5	Danio rerio (Zebrafish) (Brachydanio rerio)	523	Evidence at protein level
Q6DG36	reviewed	ZNT5_DANRE	Proton-coupled zinc antiporter SLC30A5 (Solute carrier family 30 member 5) (Zinc transporter 5) (ZnT-5)	slc30a5 znt5	Danio rerio (Zebrafish) (Brachydanio rerio)	775	Evidence at transcript level
Q6DG38	reviewed	GPAT3_DANRE	Glycerol-3-phosphate acyltransferase 3 (GPAT-3) (EC 2.3.1.15) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 10) (AGPAT 10) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 9) (1-AGP acyltransferase 9) (1-AGPAT 9) (EC 2.3.1.51) (Lysophosphatidic acid acyltransferase theta) (LPAAT-theta)	gpat3 agpat9 si:ch211-85e10.5 zgc:91857	Danio rerio (Zebrafish) (Brachydanio rerio)	449	Evidence at transcript level
Q6DG85	reviewed	URIC_DANRE	Uricase (EC 1.7.3.3) (Urate oxidase)	uox	Danio rerio (Zebrafish) (Brachydanio rerio)	298	Evidence at protein level
Q6DGB6	reviewed	DAA19_DANRE	Dynein axonemal assembly factor 19 (Coiled-coil domain-containing protein 103) (Protein schmalhans)	dnaaf19 ccdc103 smh zgc:100838	Danio rerio (Zebrafish) (Brachydanio rerio)	247	Evidence at protein level
Q6DGD3	reviewed	SV91A_DANRE	Histone-lysine N-methyltransferase SUV39H1-A (EC 2.1.1.-) (EC 2.1.1.366) (Suppressor of variegation 3-9 homolog 1-A) (Su(var)3-9 homolog 1-A)	suv39h1a suv39h1 si:dkey-16n15.2 zgc:101027	Danio rerio (Zebrafish) (Brachydanio rerio)	411	Evidence at transcript level
Q6DGE9	reviewed	UN45B_DANRE	Protein unc-45 homolog B (Unc-45B) (UNC45-related protein)	unc45b unc45r si:ch211-204d2.1	Danio rerio (Zebrafish) (Brachydanio rerio)	934	Evidence at protein level
Q6DGH9	reviewed	OTBP_DANRE	Homeobox protein orthopedia B	otpb otp otp1 otpa	Danio rerio (Zebrafish) (Brachydanio rerio)	315	Evidence at protein level
Q6DGS3	reviewed	KC2D2_DANRE	Calcium/calmodulin-dependent protein kinase type II delta 2 chain (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase type II delta-A chain) (CaM kinase II subunit delta-A) (CaM-kinase II delta-A chain) (CaMK-II subunit delta-A)	camk2d2 camk2d camk2da zgc:92792	Danio rerio (Zebrafish) (Brachydanio rerio)	554	Evidence at transcript level
Q6DH13	reviewed	RBP2A_DANRE	RNA-binding protein, mRNA-processing factor 2a (rbpms2a) (Heart and RRM expressed sequence) (hermes) (Protein hermes A)	rbpms2a hermesa zgc:92689	Danio rerio (Zebrafish) (Brachydanio rerio)	199	Evidence at protein level
Q6DHC1	reviewed	RB18B_DANRE	Ras-related protein Rab-18-B (EC 3.6.5.2)	rab18b rab18 zgc:92523	Danio rerio (Zebrafish) (Brachydanio rerio)	205	Evidence at transcript level
Q6DHF9	reviewed	SIX1A_DANRE	Homeobox protein six1a (Homeobox protein six1b) (Sine oculis homeobox homolog 1a) (Sine oculis homeobox homolog 1b)	six1a six1b	Danio rerio (Zebrafish) (Brachydanio rerio)	283	Evidence at transcript level
Q6DHI1	reviewed	ZDHC7_DANRE	Palmitoyltransferase ZDHHC7 (EC 2.3.1.225) (Acyltransferase ZDHHC7) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 7)	zdhhc7 dhhc7 zgc:92305	Danio rerio (Zebrafish) (Brachydanio rerio)	299	Evidence at protein level
Q6DHI5	reviewed	SIR5_DANRE	NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5)	sirt5 si:ch211-121a2.1	Danio rerio (Zebrafish) (Brachydanio rerio)	305	Evidence at protein level
Q6DHM9	reviewed	RHOAB_DANRE	Rho-related GTP-binding protein RhoA-B	rhoab zgc:153713	Danio rerio (Zebrafish) (Brachydanio rerio)	193	Evidence at protein level
Q6DHR0	reviewed	RSPO1_DANRE	R-spondin-1 (Roof plate-specific spondin-1)	rspo1 zgc:92153	Danio rerio (Zebrafish) (Brachydanio rerio)	261	Evidence at transcript level
Q6DHR8	reviewed	NGBR_DANRE	Dehydrodolichyl diphosphate synthase complex subunit nus1 (EC 2.5.1.87) (Di-trans,poly-cis-decaprenylcistransferase) (Nogo-B receptor) (NgBR) (Nuclear undecaprenyl pyrophosphate synthase 1 homolog)	nus1 ngbr si:ch211-102b16.1 zgc:92136	Danio rerio (Zebrafish) (Brachydanio rerio)	274	Evidence at transcript level
Q6DI48	reviewed	DLLA_DANRE	Delta-like protein A (DeltaA)	dla	Danio rerio (Zebrafish) (Brachydanio rerio)	772	Evidence at protein level
Q6DRB1	reviewed	GLE1_DANRE	mRNA export factor GLE1 (GLE1 RNA export mediator) (GLE1-like protein) (Nucleoporin GLE1)	gle1 gle1l	Danio rerio (Zebrafish) (Brachydanio rerio)	695	Evidence at transcript level
Q6DRC0	reviewed	SYSC_DANRE	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS)	sars1 sars	Danio rerio (Zebrafish) (Brachydanio rerio)	515	Evidence at protein level
Q6DRC3	reviewed	CF298_DANRE	Cilia- and flagella-associated protein 298 (Protein kurly)	cfap298 kur	Danio rerio (Zebrafish) (Brachydanio rerio)	290	Evidence at protein level
Q6DRC5	reviewed	USPL1_DANRE	SUMO-specific isopeptidase USPL1 (EC 3.4.22.-) (Ubiquitin-specific peptidase-like protein 1)	uspl1	Danio rerio (Zebrafish) (Brachydanio rerio)	1014	Evidence at protein level
Q6DRD3	reviewed	DPOLB_DANRE	DNA polymerase beta (EC 2.7.7.7) (5'-deoxyribose-phosphate lyase) (5'-dRP lyase) (EC 4.2.99.-) (AP lyase) (EC 4.2.99.18)	polb	Danio rerio (Zebrafish) (Brachydanio rerio)	336	Evidence at transcript level
Q6DRG7	reviewed	MYPT1_DANRE	Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit)	ppp1r12a mbs mypt1 si:dkey-28j4.1 zgc:110448	Danio rerio (Zebrafish) (Brachydanio rerio)	1049	Evidence at transcript level
Q6DRP4	reviewed	CCM2_DANRE	Cerebral cavernous malformations protein 2 homolog (Malcavernin) (Valentine)	ccm2 vtn	Danio rerio (Zebrafish) (Brachydanio rerio)	455	Evidence at protein level
Q6E2N3	reviewed	TRI33_DANRE	E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (Protein moonshine) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)	trim33 mon	Danio rerio (Zebrafish) (Brachydanio rerio)	1163	Evidence at transcript level
Q6EIG3	reviewed	CP26B_DANRE	Cytochrome P450 26B1 (Cyp26B1) (EC 1.14.13.-) (Retinoic acid-metabolizing cytochrome)	cyp26b1	Danio rerio (Zebrafish) (Brachydanio rerio)	511	Evidence at protein level
Q6EJB7	reviewed	SOX3_DANRE	Transcription factor Sox-3	sox3 zgc:110279	Danio rerio (Zebrafish) (Brachydanio rerio)	300	Evidence at protein level
Q6EWH2	reviewed	FYNA_DANRE	Tyrosine-protein kinase fyna (EC 2.7.10.2) (Proto-oncogene c-Fyna)	fyna fyn	Danio rerio (Zebrafish) (Brachydanio rerio)	537	Evidence at protein level
Q6GMI9	reviewed	UXS1_DANRE	UDP-glucuronic acid decarboxylase 1 (EC 4.1.1.35) (UDP-glucuronate decarboxylase 1) (UXS-1)	uxs1 zgc:91980	Danio rerio (Zebrafish) (Brachydanio rerio)	418	Evidence at protein level
Q6GMK0	reviewed	MGT4B_DANRE	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVb) (GlcNAc-T IVb) (GnT-IVb) (N-acetylglucosaminyltransferase IVb) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVb)	mgat4bQ9UQ53 zgc:92425	Danio rerio (Zebrafish) (Brachydanio rerio)	547	Evidence at transcript level
Q6GQN0	reviewed	CEP41_DANRE	Centrosomal protein of 41 kDa (Cep41) (Testis-specific gene A14 protein)	cep41 tsga14 zgc:91859	Danio rerio (Zebrafish) (Brachydanio rerio)	374	Evidence at transcript level
Q6IQE5	reviewed	GET3_DANRE	ATPase GET3 (EC 3.6.4.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase)	get3 asna1 si:dkey-121b10.2 zgc:86799	Danio rerio (Zebrafish) (Brachydanio rerio)	341	Evidence at protein level
Q6IVV8	reviewed	PKD2_DANRE	Polycystin-2 (Curly up) (Cup) (Polycystic kidney disease 2 protein homolog) (Transient receptor potential cation channel subfamily P member 2)	pkd2	Danio rerio (Zebrafish) (Brachydanio rerio)	904	Evidence at protein level
Q6IVW0	reviewed	IFT57_DANRE	Intraflagellar transport protein 57 homolog	ift57	Danio rerio (Zebrafish) (Brachydanio rerio)	407	Evidence at transcript level
Q6IWL4	reviewed	TRAF6_DANRE	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6)	traf6 si:dkey-56p7.3 zgc:63704	Danio rerio (Zebrafish) (Brachydanio rerio)	542	Evidence at protein level
Q6JAN0	reviewed	AGRV1_DANRE	Adhesion G-protein coupled receptor V1 (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Very large G-protein coupled receptor 1)	adgrv1 gpr98 mass1 vlgr1	Danio rerio (Zebrafish) (Brachydanio rerio)	6199	Evidence at transcript level
Q6KFX9	reviewed	RFNG_DANRE	Beta-1,3-N-acetylglucosaminyltransferase radical fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)	rfng	Danio rerio (Zebrafish) (Brachydanio rerio)	362	Evidence at transcript level
Q6L8F3	reviewed	S39A6_DANRE	Zinc transporter ZIP6 (Estrogen-regulated protein LIV-1) (Solute carrier family 39 member 6) (Zrt- and Irt-like protein 6) (ZIP-6)	slc39a6 liv1 zip6 wu:fc25a09	Danio rerio (Zebrafish) (Brachydanio rerio)	742	Evidence at transcript level
Q6NSN2	reviewed	AOF_DANRE	Amine oxidase [flavin-containing] (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase) (MAO) (Z-MAO)	mao zgc:85761	Danio rerio (Zebrafish) (Brachydanio rerio)	522	Evidence at protein level
Q6NSN5	reviewed	PURA1_DANRE	Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (IMP--aspartate ligase 1)	adss1 adssl1 zgc:85738	Danio rerio (Zebrafish) (Brachydanio rerio)	456	Evidence at protein level
Q6NW58	reviewed	SPAST_DANRE	Spastin (EC 5.6.1.1)	spast spg4 si:ch73-233a22.3 zgc:85952	Danio rerio (Zebrafish) (Brachydanio rerio)	570	Evidence at transcript level
Q6NW59	reviewed	ATF4_DANRE	Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4)	atf4 atf4a zgc:85951	Danio rerio (Zebrafish) (Brachydanio rerio)	339	Evidence at transcript level
Q6NW76	reviewed	AURKB_DANRE	Aurora kinase B (EC 2.7.11.1) (Serine/threonine kinase A) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase aurora-B)	aurkb stka	Danio rerio (Zebrafish) (Brachydanio rerio)	320	Evidence at transcript level
Q6NWF1	reviewed	GTR12_DANRE	Solute carrier family 2, facilitated glucose transporter member 12 (Glucose transporter type 12) (GLUT-12)	slc2a12 glut12 zgc:66027 zgc:85776	Danio rerio (Zebrafish) (Brachydanio rerio)	610	Evidence at transcript level
Q6NWH2	reviewed	MRPB_DANRE	MARCKS-related protein 1-B (MARCKS-like protein 1-A) (MARCKS-like protein 1-B)	marcksl1b marcksl1a marcksl2 zgc:85717	Danio rerio (Zebrafish) (Brachydanio rerio)	207	Evidence at transcript level
Q6NXC0	reviewed	FMNL3_DANRE	Formin-like protein 3 (Formin homology 2 domain-containing protein 3)	fmnl3 frl2 si:ch73-60e21.1	Danio rerio (Zebrafish) (Brachydanio rerio)	1047	Evidence at transcript level
Q6NYH1	reviewed	IF122_DANRE	Intraflagellar transport protein 122 homolog	ift122 zgc:77217	Danio rerio (Zebrafish) (Brachydanio rerio)	1187	Evidence at transcript level
Q6NYL3	reviewed	ECHP_DANRE	Peroxisomal bifunctional enzyme (PBE) (PBFE) (Multifunctional enzyme 1) (MFE1) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	ehhadh echd si:dkeyp-30d5.2 zgc:77526	Danio rerio (Zebrafish) (Brachydanio rerio)	718	Evidence at transcript level
Q6NYV5	reviewed	SP30L_DANRE	Histone deacetylase complex subunit SAP30L (Sin3 corepressor complex subunit SAP30L) (Sin3-associated protein p30-like)	sap30l	Danio rerio (Zebrafish) (Brachydanio rerio)	178	Evidence at protein level
Q6NYV8	reviewed	LCLT1_DANRE	Lysocardiolipin acyltransferase 1 (EC 2.3.1.-) (1-acylglycerol-3-phosphate O-acyltransferase 8) (1-AGP acyltransferase 8) (1-AGPAT 8) (EC 2.3.1.51) (Acyl-CoA:lysocardiolipin acyltransferase 1)	lclat1 agpat8 lycat zgc:77380	Danio rerio (Zebrafish) (Brachydanio rerio)	388	Evidence at protein level
Q6NYV9	reviewed	LEO1_DANRE	RNA polymerase-associated protein LEO1	leo1 zgc:77374	Danio rerio (Zebrafish) (Brachydanio rerio)	696	Evidence at protein level
Q6NYW6	reviewed	CLAP2_DANRE	CLIP-associating protein 2 (Cytoplasmic linker-associated protein 2)	clasp2	Danio rerio (Zebrafish) (Brachydanio rerio)	1288	Evidence at transcript level
Q6NYY9	reviewed	VMP1_DANRE	Vacuole membrane protein 1	vmp1	Danio rerio (Zebrafish) (Brachydanio rerio)	406	Evidence at transcript level
Q6NZ04	reviewed	SIX1B_DANRE	Homeobox protein six1b (Homeobox protein six1a) (Sine oculis homeobox homolog 1a) (Sine oculis homeobox homolog 1b)	six1b six1 six1a	Danio rerio (Zebrafish) (Brachydanio rerio)	284	Evidence at protein level
Q6NZ07	reviewed	NCLN_DANRE	BOS complex subunit ncln (Nicalin-1) (Nicastrin-like protein 1)	ncln ncl1	Danio rerio (Zebrafish) (Brachydanio rerio)	572	Evidence at transcript level
Q6P0D0	reviewed	QKIA_DANRE	Protein quaking-A (zqk)	qkia qk	Danio rerio (Zebrafish) (Brachydanio rerio)	341	Evidence at transcript level
Q6P0E1	reviewed	SOX2_DANRE	Transcription factor Sox-2	sox2 zgc:65860 zgc:77389	Danio rerio (Zebrafish) (Brachydanio rerio)	315	Evidence at transcript level
Q6P0E5	reviewed	DDRGK_DANRE	DDRGK domain-containing protein 1	ddrgk1 zgc:56488	Danio rerio (Zebrafish) (Brachydanio rerio)	300	Evidence at transcript level
Q6P0F9	reviewed	INS1A_DANRE	Insulinoma-associated protein 1a (Insulinoma-associated 1-like protein a) (Zinc finger protein IA-1a)	insm1a	Danio rerio (Zebrafish) (Brachydanio rerio)	383	Evidence at transcript level
Q6P0R8	reviewed	SHOT1_DANRE	Shootin-1	shtn1	Danio rerio (Zebrafish) (Brachydanio rerio)	544	Evidence at transcript level
Q6P2A1	reviewed	PRDM9_DANRE	Histone-lysine N-methyltransferase PRDM9 (PR domain zinc finger protein 9) (PR domain-containing protein 9) (Protein-lysine N-methyltransferase PRDM9) (EC 2.1.1.-) ([histone H3]-lysine36 N-trimethyltransferase PRDM9) (EC 2.1.1.359) ([histone H3]-lysine4 N-trimethyltransferase PRDM9) (EC 2.1.1.354) ([histone H3]-lysine9 N-trimethyltransferase PRDM9) (EC 2.1.1.355) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.361)	prdm9 zgc:63970	Danio rerio (Zebrafish) (Brachydanio rerio)	853	Evidence at transcript level
Q6P3G4	reviewed	CCSAP_DANRE	Centriole, cilia and spindle-associated protein	ccsap si:dkey-162b3.6	Danio rerio (Zebrafish) (Brachydanio rerio)	263	Evidence at transcript level
Q6P3K7	reviewed	KC1DB_DANRE	Casein kinase I isoform delta-B (CKI-delta-B) (CKId-B) (EC 2.7.11.1)	csnk1db	Danio rerio (Zebrafish) (Brachydanio rerio)	409	Evidence at transcript level
Q6P7E4	reviewed	PDLI7_DANRE	PDZ and LIM domain protein 7	pdlim7	Danio rerio (Zebrafish) (Brachydanio rerio)	419	Evidence at transcript level
Q6P949	reviewed	PHF2_DANRE	Lysine-specific demethylase phf2 (EC 1.14.11.-) (PHD finger protein 2)	phf2	Danio rerio (Zebrafish) (Brachydanio rerio)	1063	Evidence at transcript level
Q6PBJ2	reviewed	CFA20_DANRE	Cilia- and flagella-associated protein 20	cfap20 zgc:73380	Danio rerio (Zebrafish) (Brachydanio rerio)	192	Evidence at transcript level
Q6PBN2	reviewed	AIDA_DANRE	Axin interactor, dorsalization-associated protein (Axin interaction partner and dorsalization antagonist)	aida zgc:73327	Danio rerio (Zebrafish) (Brachydanio rerio)	303	Evidence at protein level
Q6PBT8	reviewed	FGF1_DANRE	Putative fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Heparin-binding growth factor 1) (HBGF-1)	fgf1 fgf-1 zgc:73249	Danio rerio (Zebrafish) (Brachydanio rerio)	147	Evidence at transcript level
Q6PBW5	reviewed	RP65A_DANRE	Retinoid isomerohydrolase (EC 3.1.1.64) (All-trans-retinylester 11-cis isomerohydrolase A) (Lutein isomerase) (Meso-zeaxanthin isomerase) (EC 5.3.3.22) (Retinal pigment epithelium-specific 65 kDa protein homolog A) (RPE56a)	rpe65a rpepa	Danio rerio (Zebrafish) (Brachydanio rerio)	531	Evidence at transcript level
Q6PC64	reviewed	ELOV6_DANRE	Very long chain fatty acid elongase 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase elovl6) (ELOVL fatty acid elongase 6) (ELOVL FA elongase 6) (Elongation of very long chain fatty acids protein 6) (Very long chain 3-ketoacyl-CoA synthase 6) (Very long chain 3-oxoacyl-CoA synthase 6)	elovl6	Danio rerio (Zebrafish) (Brachydanio rerio)	266	Evidence at transcript level
Q6PC72	reviewed	CIB2_DANRE	Calcium and integrin-binding family member 2	cib2 zgc:73079	Danio rerio (Zebrafish) (Brachydanio rerio)	187	Evidence at transcript level
Q6PD99	reviewed	MRPA_DANRE	MARCKS-related protein 1-A (MARCKS-like protein 1-A) (MARCKS-like protein 1-B)	marcksl1a marcksl1 marcksl1b	Danio rerio (Zebrafish) (Brachydanio rerio)	213	Evidence at transcript level
Q6PE18	reviewed	P4K2A_DANRE	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	pi4k2a pi4kii si:ch211-197k17.1	Danio rerio (Zebrafish) (Brachydanio rerio)	447	Evidence at transcript level
